id,Bus Stop,Delay (Seconds),Time (Military Hours),Bus
1,E 125 st/3 av,175,414,M100
2,E 125 ST/MADISON AV,64,417,M100
3,E 125 ST/PARK AV,60,445,M100
4,STERD AV/W 150 ST,80,447,M100
5,STERD AV/W 140 ST,67,515,M100
6,E 125 ST/5 AV,59,1007,M100
7,W 125 ST/MALCOLM X BL,96,1008,M100
8,STERD AV/W 138 ST,95,1009,M100
9,W 125 ST/FRED DOUGLASS BL,80,1011,M100
10,W 125 ST/AD C POWELL BL,67,1013,M100
11,W 125 ST/MORNINGSIDE AV,82,1040,M100
12,STERD AV/W 126 ST,74,1041,M100
13,W 125 ST/ST NICHOLAS AV,64,1043,M100
14,W 125 ST/STERD AV,89,1046,M100
15,STERD AV/W 129 ST,58,1047,M100
16,E 125 ST/LEXINGTON AV,127,1047,M100
17,STERD AV/W 136 ST,61,1049,M100
18,STERD AV/W 131 ST,76,1049,M100
19,STERD AV/W 133 ST ,71,1051,M100
20,STERD AV/W 161 ST,70,1053,M100
21,STERD AV/W 145 ST,71,1053,M100
22,STERD AV/W 149 ST,74,1055,M100
23,STERD AV/W 148 ST,54,1057,M100
24,STERD AV/W 152 ST,72,1058,M100
25,STERD AV/W 156 ST,66,1154,M100
26,STERD AV/W 158 ST,100,1158,M100
27,STERD AV/W 143 ST,56,1224,M100
28,E 125 st/3 av,230,414,M101
29,E 125 ST/MADISON AV,56,417,M101
30,E 125 ST/PARK AV,73,445,M101
31,STERD AV/W 150 ST,31,447,M101
32,STERD AV/W 140 ST,68,515,M101
33,E 125 ST/5 AV,82,1007,M101
34,W 125 ST/MALCOLM X BL,167,1008,M101
35,STERD AV/W 138 ST,171,1009,M101
36,W 125 ST/FRED DOUGLASS BL,100,1011,M101
37,W 125 ST/AD C POWELL BL,70,1013,M101
38,W 125 ST/MORNINGSIDE AV,93,1040,M101
39,STERD AV/W 126 ST,124,1041,M101
40,W 125 ST/ST NICHOLAS AV ,72,1043,M101
41,W 125 ST/STERD AV,156,1046,M101
42,STERD AV/W 129 ST,69,1047,M101
43,E 125 ST/LEXINGTON AV,195,1047,M101
44,STERD AV/W 136 ST,87,1049,M101
45,STERD AV/W 131 ST,109,1049,M101
46,STERD AV/W 133 ST ,76,1051,M101
47,STERD AV/W 161 ST,74,1053,M101
48,STERD AV/W 145 ST,96,1053,M101
49,STERD AV/W 149 ST,100,1055,M101
50,STERD AV/W 148 ST,70,1057,M101
51,STERD AV/W 152 ST,99,1058,M101
52,STERD AV/W 156 ST,96,1154,M101
53,STERD AV/W 158 ST,77,1158,M101
54,STERD AV/W 143 ST,74,1224,M101
