date	BROADWAY/W 219 ST	10 AV/W 214 ST	10 AV/W 211 ST	10 AV/W 207 ST	10 AV/W 204 ST	10 AV/W 202 ST	DYCKMAN ST/10 AV	DYCKMAN ST/NAGLE AV	DYCKMAN ST/SHERMAN AV	BROADWAY/RIVERSIDE DR	BROADWAY/DONGAN PL	BROADWAY/W 192 ST	BROADWAY/W 176 ST	BROADWAY/W 172 ST	BROADWAY/W 168 ST	ST NICHOLAS AV/W 164 ST	AMSTERDAM AV/W 158 ST	AMSTERDAM AV/W 152 ST	AMSTERDAM AV/W 150th ST	AMSTERDAM AV/W 148th ST	AMSTERDAM AV/W 145th ST	AMSTERDAM AV/W 140 ST	AMSTERDAM AV/W 136 ST	AMSTERDAM AV/W 131 ST	AMSTERDAM AV/W 158 ST	AMSTERDAM AV/W 126 ST	W 125 ST/AMSTERDAM AV	W 125 ST/MORNINGSIDE AV 	W 125 ST/ST NICHOLAS AV	W 125 ST/FRED DOUGLASS BL	W 125 ST/ADAM C POWELL BL	W 125 ST/MALCOLM X BL	E 125 ST/5 AV	E 125 ST/MADISON AV	E 125 ST/PARK AV 	E 125 ST/LEXINGTON AV	E 125 ST/3 AV	E 125 ST/2 AV	E 125 ST/1 AV 	1 AV/125 ST
4:01	10	15	3	1	3	2	7	1	5	5	4	10	13	2	1	7	9	14	3	2	6	7	27	10	9	1	10	7	3	1	11	1	6	29	1	6	1	3	21	28
4:06	11	14	3	3	3	2	9	1	5	9	4	10	14	2	1	7	11	13	3	3	8	7	19	9	11	1	11	4	4	1	14	1	5	26	1	4	2	3	21	27
4:51	13	18	3	1	3	2	6	2	5	4	5	10	12	2	1	7	9	14	3	3	7	7	21	9	9	1	10	4	5	1	11	1	5	22	1	2	3	2	33	23
8:11	14	19	3	1	6	2	6	1	5	5	3	10	11	2	1	7	11	17	3	3	7	7	15	9	11	1	8	5	4	1	13	1	5	22	1	4	1	2	26	30
9:11	16	17	3	1	7	5	6	2	6	6	3	10	14	2	3	7	10	16	2	4	8	7	20	8	10		9	5	5	1	13	1	4	19	1	2	3	4	25	33
10:11	16	18	3	1	7	5	5	3	6	6	5	10	10	1	3	7	10	17	2	4	8	6	19	8	10	1	9	6	6	2	11	1	5	21	1	2	1	4	24	32
11:11	10	17	2	1	5	5	3	1	6	5	5	11	13	1	3	5	11	17	2	5	8	8	20	8	11		8	7	2	1	12	2	5	20	1	4	3	5	23	34
12:01	10	14	2	2	5	5	5	1	4	7	4	11	11	3	3	5	8	15	2	4	5	9	18	8	8	1	8	4	3	2	10	1	6	23	1	4	3	5	22	35
13:26	16	18	2	3	5	5	5	1	4	9	4	11	14	3	3	5	7	14	2	3	7	8	22	8	7	1	10	6	4	2	11	2	4	26	1	5	2	4	22	34
13:30	14	14	2	3	5	5	8	1	4	7	3	11	11	3	3	5	7	15	2	3	6	7	16	9	7		7	4	3	2	10	2	4	19	1	3	1	4	22	37
13:36	17	15	3	4	5	6	6	1	4	6	3	11	13	3	3	5	6	19	4	3	8	8	16	9	6	1	9	8	3	2	9	1	3	20	1	4	1	4	22	34
13:40	17	20	2	5	5	6	4	1	4	9	6	11	15	3	2	5	8	18	4	3	7	6	20	9	9	1	8	15	3	1	10	2	4	21	1	5	5	3	24	40
14:40	17	18	3	4	5	6	5	1	4	9	4	13	13	4	2	5	6	12	4	2	5	7	22	9	9	1	7	13	3	2	8	1	3	23	2	3	5	4	24	36
15:40	18	20	2	4	5	6	7	1	7	9	4	13	13	4	2	6	6	12	4	2	6	6	22	10	10	1	8	6	2	1	7		4	24	2	2	5	2	24	38
16:40	20	21	3	4	6	7	9	2	7	7	5	13	13	4	1	6	8	12	4	3	6	7	17	10	10	1	7	6	3	1	10	1	3	20	1	3	6	3	21	33
17:40	20	19	2	4	6	7	7	2	7	8	5	13	15	4	1	6	7	15	4	2	6	7	17	10	9	1	10	8	4	2	10	1	5	22	1	4	5	3	11	33
18:40	19	23	2	4	6	5	8	2	7	9	6	14	15	4	1	6	6	15	5	2	4	7	16	10	9	1	8	9	4	2	8		3	23		4	9	2	11	32
19:40	19	24	2	4	6	5	4	1	7	10	5	14	16	7	1	6	6	12	5	3	4	5	21	9	7	1	7	5	3	2	9	1	5	24	1	3	8	2	11	30
20:40	17	29	2	4	6	5	3	1	7	13	7	14	16	7	1	6	9	13	5	2	7	11	17	9	7	1	8	6	4	1	9	1	6	21	1	4	9	2	9	30
20:41	15	14	2	4	6	5	3	1	5	13	6	10	6	7	1	6	10	10	5	3	7	11	11	9	7															
20:42	15	14	2	4	6	5	3	3	5	10	5	10	6	7	1	6	8	10	5	3		12	11	9	7															
20:44	15	14	2	4	6	5	3	2	5	9	5	10	6	7			8	5		2		10	11		7															
